account_id,product,amount,bucket,is_asset,is_liability,is_off_balance,base_haircut,asf_weight,rsf_weight
A00000,retail_stable,2246331.5431705257,2d-7d,False,True,False,1.0,0.95,0.0
A00001,loans,3333601.472369003,8d-30d,True,False,False,0.65,0.0,0.85
A00002,corporate_bonds,22687439.043376677,>1y,True,False,False,0.2,0.0,0.5
A00003,treasury_hqla,950063.5352602914,>1y,True,False,False,0.05,0.0,0.05
A00004,corporate_non_operational,3264761.997618748,8d-30d,False,True,False,1.0,0.5,0.0
A00005,committed_facilities,3325356.2860673596,91d-1y,False,False,True,1.0,0.0,0.0
A00006,loans,801978.1190943572,8d-30d,True,False,False,0.65,0.0,0.85
A00007,loans,7108432.653397517,2d-7d,True,False,False,0.65,0.0,0.85
A00008,retail_less_stable,906309.72275295,overnight,False,True,False,1.0,0.9,0.0
A00009,corporate_operational,21859136.510295473,2d-7d,False,True,False,1.0,0.5,0.0
A00010,loans,8794555.843221573,>1y,True,False,False,0.65,0.0,0.85
A00011,retail_less_stable,17010265.455919176,8d-30d,False,True,False,1.0,0.9,0.0
A00012,committed_facilities,20502038.64007782,overnight,False,False,True,1.0,0.0,0.0
A00013,retail_stable,2372159.5624654014,2d-7d,False,True,False,1.0,0.95,0.0
A00014,committed_facilities,2694453.1165038105,2d-7d,False,False,True,1.0,0.0,0.0
A00015,retail_less_stable,1402254.149196007,overnight,False,True,False,1.0,0.9,0.0
A00016,retail_stable,15079952.149105068,31d-90d,False,True,False,1.0,0.95,0.0
A00017,corporate_operational,6381512.292764256,>1y,False,True,False,1.0,0.5,0.0
A00018,retail_less_stable,1731349.857950704,8d-30d,False,True,False,1.0,0.9,0.0
A00019,retail_stable,2340714.90720665,8d-30d,False,True,False,1.0,0.95,0.0
A00020,loans,6937109.898777646,>1y,True,False,False,0.65,0.0,0.85
A00021,corporate_bonds,111110628.9328019,>1y,True,False,False,0.2,0.0,0.5
A00022,corporate_operational,25412773.77430441,overnight,False,True,False,1.0,0.5,0.0
A00023,loans,3281455.8410801417,31d-90d,True,False,False,0.65,0.0,0.85
A00024,corporate_operational,3830564.0536112273,2d-7d,False,True,False,1.0,0.5,0.0
A00025,loans,2174825.4250420462,2d-7d,True,False,False,0.65,0.0,0.85
A00026,retail_stable,7194979.304399433,overnight,False,True,False,1.0,0.95,0.0
A00027,loans,6785258.7906887615,91d-1y,True,False,False,0.65,0.0,0.85
A00028,wholesale_unsecured,3274947.8208344714,overnight,False,True,False,1.0,0.0,0.0
A00029,retail_stable,6020297.647833694,2d-7d,False,True,False,1.0,0.95,0.0
A00030,retail_stable,8143944.463626445,>1y,False,True,False,1.0,0.95,0.0
A00031,loans,1711343.5606096007,>1y,True,False,False,0.65,0.0,0.85
A00032,retail_less_stable,4469688.04998987,31d-90d,False,True,False,1.0,0.9,0.0
A00033,loans,2734048.3424254954,91d-1y,True,False,False,0.65,0.0,0.85
A00034,retail_stable,12372119.308006752,overnight,False,True,False,1.0,0.95,0.0
A00035,corporate_non_operational,18004000.59880646,2d-7d,False,True,False,1.0,0.5,0.0
A00036,corporate_operational,1916677.1675848896,overnight,False,True,False,1.0,0.5,0.0
A00037,treasury_hqla,1327661.8497451874,>1y,True,False,False,0.05,0.0,0.05
A00038,loans,3231358.073620671,91d-1y,True,False,False,0.65,0.0,0.85
A00039,loans,3980855.546930764,2d-7d,True,False,False,0.65,0.0,0.85
A00040,loans,2877542.1395196943,91d-1y,True,False,False,0.65,0.0,0.85
